Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
6:4	ix53		rc://*/ta/man/translate/figs-metonymy	לְ⁠פָנֶ֔י⁠ךָ	1	Here, **to your face** represents “before you” or “ahead of you.” If it would be helpful in your language, you could use an equivalent expression or plain language. Alternate translation: [ahead of you]
6:5	rdp7		rc://*/ta/man/translate/figs-explicit	זְכָר & מַה־יָּעַ֗ץ בָּלָק֙ מֶ֣לֶךְ מוֹאָ֔ב וּ⁠מֶה־עָנָ֥ה אֹת֖⁠וֹ בִּלְעָ֣ם בֶּן־בְּע֑וֹר	1	Yahweh assumes that readers will know that he is referring to the events describe in [Numbers 22-24](../../num/22/01.md). The phrase **what Balak, king of Moab, counseled** refers to his plot to destroy Israel by hiring Balaam to curse them and **what Balaam, son of Beor, answered him** refers to the fact that Balaam told the king he could only bless the people rather than curse them. You could include this information in a footnote if that would be helpful to your readers.
6:5	d761		rc://*/ta/man/translate/figs-explicit	מִן־הַ⁠שִּׁטִּים֙ עַד־הַ⁠גִּלְגָּ֔ל	1	The implication is that Yahweh wants his people to remember what happened to their ancestors when they were able to miraculously cross the Jordan River (see [Joshua 3 and 4](../../jos/03/01.md)). **Shittim** was the location of their last camp east of the Jordan River, and **Gilgal**, was where first camped in the land that he had promised them. You could include this information if that would be helpful to your readers. Alternate translation: [and remember what I did for your ancestors when they crossed the Jordan River]
6:5	tclp		rc://*/ta/man/translate/figs-abstractnouns	צִדְק֥וֹת יְהוָֽה	1	If your language does not use an abstract noun for the idea of **righteousnesses**, you could express the same idea in another way. Alternate translation: [how Yahweh acted righteously toward you]
6:6	vjbi		rc://*/ta/man/translate/writing-quotations	בַּ⁠מָּה֙ אֲקַדֵּ֣ם יְהוָ֔ה	1	This verse begins a shift from Yahweh’s words to the direct quotation spoken by a worshiper who represents the people. In your translation, use a natural way of indicating this shift in speaker.
6:6	nriu		rc://*/ta/man/translate/translate-symaction	אִכַּ֖ף לֵ⁠אלֹהֵ֣י	1	To **bow down** was a symbolic action by which people showed reverence and worship. If it would be helpful to your readers, you could explain the significance of this action in the text of your translation or in a footnote. Alternate translation: [worship the God of]
6:6	sge5		rc://*/ta/man/translate/figs-ellipsis	אִכַּ֖ף	1	The speaker is leaving out some of the words that in many languages a sentence would need in order to be complete. You can supply these words from the context if that would be clearer in your language. Alternate translation: [With what shall I bow down]
6:6	yksm		rc://*/ta/man/translate/figs-possession	לֵ⁠אלֹהֵ֣י מָר֑וֹם	1	The speaker is using the possessive form to describe a **God** that is characterized by **the height**, that is, by his exalted position. If a speaker of your language would not use the possessive form for this, you could express this idea in another way. Alternate translation: [to the exalted God]
6:6	csj8		rc://*/ta/man/translate/figs-idiom	בַּ⁠עֲגָלִ֖ים בְּנֵ֥י שָׁנָֽה	1	The speaker is using **calves, sons of a year** as a common expression of the culture to mean “calves that are one year old.” If this phrase does not have that meaning for your readers, you could use a comparable expression from your language that does have that meaning, or you could state the meaning plainly. Alternate translation: [with calves that are one year old]
6:7	nwn4		rc://*/ta/man/translate/figs-hyperbole	בְּ⁠אַלְפֵ֣י אֵילִ֔ים בְּ⁠רִֽבְב֖וֹת נַֽחֲלֵי־שָׁ֑מֶן	1	The speaker says **thousands of rams, with ten thousands of rivers of oil** as an extreme statement for emphasis. If it would be helpful in your language, you could use a different way to express the emphasis. Alternate translation: [an enormous number of rams, with an unimaginable amount of oil]
6:7	y7aw		rc://*/ta/man/translate/figs-abstractnouns	פִּשְׁעִ֔⁠י	1	If your language does not use an abstract noun for the idea of **transgression**, you could express the same idea in another way. Alternate translation: [for the ways I have rebelled]
6:7	lncg		rc://*/ta/man/translate/figs-metaphor	פְּרִ֥י בִטְנִ֖⁠י	1	Here the speaker is speaking of a child who came from his own body as if it were **the fruit of my belly**. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [my own child that I fathered]
6:8	xmrn		rc://*/ta/man/translate/writing-quotations	הִגִּ֥יד לְ⁠ךָ֛ אָדָ֖ם	1	In this verse the speaker changes, as Micah answers the questions that the previous speaker has asked. In your translation, use a natural way of indicating a change of speaker in your language.
6:8	xz8l		rc://*/ta/man/translate/writing-pronouns	הִגִּ֥יד	1	The pronoun **He** refers to Yahweh. It may be helpful to clarify this for your readers. Alternate translation: [Yahweh has told]
6:8	wsn1		rc://*/ta/man/translate/figs-genericnoun	אָדָ֖ם	1	Micah is not referring to a specific **man**. He means people in general. If it would be helpful to your readers, you could use an expression that would be more natural in your language. Alternate translation: [human being]
6:8	yjaz		rc://*/ta/man/translate/figs-abstractnouns	מִשְׁפָּט֙	1	If your language does not use an abstract noun for the idea of **justice**, you could express the same idea in another way. Alternate translation: [what is right and fair]
6:8	b2pr		rc://*/ta/man/translate/figs-possession	וְ⁠אַ֣הֲבַת חֶ֔סֶד	1	Micah is using the possessive form to describe a **love** that is characterized as **covenant faithfulness**. If a speaker of your language would not use the possessive form for this, you could express this idea in another way. Alternate translation: [and love faithfully]
6:8	yjz8		rc://*/ta/man/translate/figs-abstractnouns	וְ⁠אַ֣הֲבַת חֶ֔סֶד	1	If your language does not use an abstract noun for the idea of **covenant faithfulness**, you could express the same idea in another way. Alternate translation: [and faithfully loving others]
6:8	j0g9		rc://*/ta/man/translate/figs-metaphor	וְ⁠הַצְנֵ֥עַ לֶ֖כֶת עִם־אֱלֹהֶֽי⁠ךָ	1	Here Micah is speaking of how one lives as if it were **to walk** down a path and by **with your God**, he means that one should live one’s whole life in fellowship with God. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [and to be humble as you live your whole life in fellowship with your God]
