Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
1:8	pcv4		rc://*/ta/man/translate/figs-metaphor	לַ⁠אֲבֹ֨תֵי⁠כֶ֜ם	1	Yahweh is using the term **fathers** to mean “ancestors.” If it would be helpful in your language, you could state the meaning plainly. Alternate translation: [to your predecessors]
1:8	n4vd		rc://*/ta/man/translate/figs-metaphor	וּ⁠לְ⁠זַרְעָ֖⁠ם	1	Here Moses is speaking as if the Israelites’ offspring were **seed**. See the Introduction to Deuteronomy for a discussion of this use of the term “seed.” Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [and to their offspring]
1:9	dv93		rc://*/ta/man/translate/writing-pronouns	וָ⁠אֹמַ֣ר	1	Here, **I** refers back to Moses in verse 5. If it would be helpful in your language, you could repeat the name “Moses” here. Alternate translation: [I, Moses, said]
1:9	l5mr		rc://*/ta/man/translate/figs-metaphor	שְׂאֵ֥ת	1	Here, **to carry** means “to lead” or “to govern.” If this phrase does not have that meaning in your language, you could state the meaning plainly. Alternate translation: [to lead]
1:10	x7q2		rc://*/ta/man/translate/figs-possession	יְהוָ֥ה אֱלֹהֵי⁠כֶ֖ם	1	Moses is not using this possessive form **your God** to indicate that the Israelites possess or control Yahweh but rather to emphasize that Yahweh is the God that the Israelites worship, including himself. It may be helpful to clarify this for your readers. Alternate translation: [Yahweh, the God whom we worship]
1:10	zy9z		rc://*/ta/man/translate/figs-hyperbole	כְּ⁠כוֹכְבֵ֥י הַ⁠שָּׁמַ֖יִם לָ⁠רֹֽב	1	Here Moses says **as the stars of the heavens in number** as a generalization for emphasis. He means that God has greatly increased the number of Israelites. If it would be helpful in your language, you could use a different way to express the emphasis. Alternate translation: [almost as numerous as the stars of the heavens]
1:11	aj7s		rc://*/ta/man/translate/translate-blessing	יְהוָ֞ה אֱלֹהֵ֣י אֲבֽוֹתֵ⁠כֶ֗ם יֹסֵ֧ף עֲלֵי⁠כֶ֛ם כָּ⁠כֶ֖ם אֶ֣לֶף פְּעָמִ֑ים וִ⁠יבָרֵ֣ךְ אֶתְ⁠כֶ֔ם כַּ⁠אֲשֶׁ֖ר דִּבֶּ֥ר לָ⁠כֶֽם	1	Moses is asking God to bless the Israelites. You could express this as either a blessing or a prayer, in whichever way is more natural in your language. Alternate translation: [I hope that Yahweh, the God of your fathers, will add to you, as you are, a thousand times, and I hope that he will bless you, just as he spoke to you]
1:11	nybe		rc://*/ta/man/translate/figs-metaphor	אֲבֽוֹתֵ⁠כֶ֗ם	1	See how you translated the phrase “your fathers” in [1:8](../01/08.md).
1:11	h9y3		rc://*/ta/man/translate/figs-explicit	יֹסֵ֧ף עֲלֵי⁠כֶ֛ם	1	The implication is that God will **add** to the number of Israelites by births. You could include this information if that would be helpful to your readers. Alternate translation: [may he add to your population]
1:11	it3v		rc://*/ta/man/translate/translate-numbers	אֶ֣לֶף פְּעָמִ֑ים	1	Here, **a thousand** is a customary way of saying “very many.” If it would be helpful in your language, you could use a different number or another phrase that indicates that something happens many times. Alternate translation: [many times more than you are now]
1:12	fvz8		rc://*/ta/man/translate/figs-rquestion	אֵיכָ֥ה אֶשָּׂ֖א לְ⁠בַדִּ֑⁠י טָרְחֲ⁠כֶ֥ם וּ⁠מַֽשַּׂאֲ⁠כֶ֖ם וְ⁠רִֽיבְ⁠כֶֽם	1	Moses uses a question to emphasize that he cannot solve all of the Israelites’ problems by himself. If it would be helpful in your language, you could express this question as a statement and use the appropriate punctuation at the end of the sentence. Alternate translation: [By myself, I cannot carry your loads and your burdens and your disputes.] or [I cannot carry your loads and your burdens and your disputes while working alone.]
1:12	l36d		rc://*/ta/man/translate/figs-metaphor	אֶשָּׂ֖א לְ⁠בַדִּ֑⁠י טָרְחֲ⁠כֶ֥ם וּ⁠מַֽשַּׂאֲ⁠כֶ֖ם	1	Here Moses speaks of the people’s problems and complaints that he needed to solve as if they were heavy physical **loads** and **burdens** that he needed to **carry**. If it would be helpful in your language, you could use an equivalent expression or state the meaning plainly. Alternate translation: [will I make decisions by myself to solve your issues and your concerns]
1:12	xa3c		rc://*/ta/man/translate/figs-doublet	טָרְחֲ⁠כֶ֥ם וּ⁠מַֽשַּׂאֲ⁠כֶ֖ם	1	The terms **loads** and **burdens** mean similar things. Moses is using the two terms together for emphasis. If it would be clearer for your readers, you could express the emphasis with a single phrase. Alternate translation: [your heavy burdens]
1:13	q6g6		rc://*/ta/man/translate/figs-doublet	חֲכָמִ֧ים וּ⁠נְבֹנִ֛ים	1	The terms **wise** and **understanding** mean similar things. Moses is using the two terms together for emphasis. If it would be clearer for your readers, you could express the emphasis with a single phrase. Alternate translation: [very wise]
1:13	ue4a		rc://*/ta/man/translate/figs-metonymy	וִ⁠ידֻעִ֖ים	1	Here, **well-known** could mean (1) someone who is well known in the community he lives in and has a good reputation as being trustworthy. If this phrase does not have that meaning in your language, you could use a comparable expression from your language that does have this meaning or state the meaning plainly. Alternate translation: [and reputable] and [and respected]. Or it could mean (2) someone who is knowledgeable. Alternate translation: [and knowledgeable]
1:13	eea5		rc://*/ta/man/translate/figs-metaphor	בְּ⁠רָאשֵׁי⁠כֶֽם	1	Here, **heads** means “leaders.” If it would be helpful in your language, you could state the meaning plainly. Alternate translation: [as your leaders]
1:15	zzio		rc://*/ta/man/translate/figs-metaphor	אֶת־רָאשֵׁ֣י & רָאשִׁ֖ים	1	See how you translated “heads” in [1:13](../01/13.md).
1:15	u5jy		rc://*/ta/man/translate/figs-metonymy	וִֽ⁠ידֻעִ֔ים	1	See how you translated “well-known” in [1:13](../01/13.md).
1:15	t5iw		rc://*/ta/man/translate/translate-numbers	אֲלָפִ֜ים & מֵא֗וֹת & חֲמִשִּׁים֙ & עֲשָׂרֹ֔ת	1	Alternate translation: [groups of 1,000 … groups of 100 … groups of 50 … groups of 10]
1:15	s3vi		rc://*/ta/man/translate/figs-explicit	לְ⁠שִׁבְטֵי⁠כֶֽם	1	The implication is that Moses appointed leaders for each of the tribes of Israel. You could include this information if that would be helpful to your readers. Alternate translation: [from each of your tribes]
1:16	k0bw		rc://*/ta/man/translate/figs-explicit	שָׁמֹ֤עַ בֵּין־אֲחֵי⁠כֶם֙	1	Here, **Listen in between your brothers** means that the judge should hear and take into consideration the evidence given by each party involved in a legal case. You could include this information if that would be helpful to your readers. Alternate translation: [Pay attention to the evidence from both sides of the legal case]
1:16	imou		rc://*/ta/man/translate/figs-metaphor	אֲחֵי⁠כֶם֙ & אָחִ֖י⁠ו	1	Here Moses is using the terms **brothers** and **brother** to describe people who are descended from the same ancestor. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: [your fellow Israelites … his fellow Israelite]
1:16	z0ng		rc://*/ta/man/translate/figs-explicitinfo	בֵּֽין־אִ֥ישׁ וּ⁠בֵין־אָחִ֖י⁠ו וּ⁠בֵ֥ין גֵּרֽ⁠וֹ	1	Here Moses repeats **between** to describe different types of relationships that could require judgment among the Israelites. The first relationship involves two Israelites. The second relationship involves an Israelite and a non-Israelite. If it would be helpful in your language, you could use a form that describes relationships between individuals. Alternate translation: [between a man and a fellow Israelite, and also between a man and a foreigner]
1:16	k6zm		rc://*/ta/man/translate/figs-genericnoun	אִ֥ישׁ	1	The word **man** represents any Israelite in general, not one particular Israelite. If it would be helpful in your language, you could use a more natural expression. Alternate translation: [any Israelite]
1:16	d8dp		rc://*/ta/man/translate/figs-genericnoun	וּ⁠בֵ֥ין גֵּרֽ⁠וֹ	1	The word **foreigner** represents foreigners living among the Israelites in general, not one particular foreigner. If it would be helpful in your language, you could use a more natural expression. Alternate translation: [and between an Israelite and any foreigner]
1:17	k656		rc://*/ta/man/translate/figs-idiom	לֹֽא־תַכִּ֨ירוּ פָנִ֜ים	1	Moses is using **recognize a face** as a common expression of his culture to mean “to show partiality.” If this phrase does not have that meaning in your language, you could use a comparable expression from your language that does have this meaning or state the meaning plainly. Alternate translation: [You shall not play favorites] or [You shall not show partiality]
