Reference	ID	Tags	OrigWords	Occurrence	TWLink
6:6	hsjk		בַּ⁠עֲגָלִ֖ים	1	rc://*/tw/dict/bible/other/cow
6:7	ysrn	keyterm	הֲ⁠יִרְצֶ֤ה יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
6:7	t3e5		אֵילִ֔ים	1	rc://*/tw/dict/bible/other/sheep
6:7	u98x		שָׁ֑מֶן	1	rc://*/tw/dict/bible/other/oil
6:7	ger7		בְּכוֹרִ⁠י֙	1	rc://*/tw/dict/bible/other/firstborn
6:7	d3vh	keyterm	פִּשְׁעִ֔⁠י	1	rc://*/tw/dict/bible/kt/transgression
6:7	egtm		פְּרִ֥י	1	rc://*/tw/dict/bible/other/fruit
6:7	eegb	keyterm	חַטַּ֥את	1	rc://*/tw/dict/bible/kt/sin
6:7	cqrs	keyterm	נַפְשִֽׁ⁠י	1	rc://*/tw/dict/bible/kt/soul
6:8	uhfs	keyterm	טּ֑וֹב	1	rc://*/tw/dict/bible/kt/good
6:8	cve9	keyterm	יְהוָ֞ה	1	rc://*/tw/dict/bible/kt/yahweh
6:8	w96s		דּוֹרֵ֣שׁ	1	rc://*/tw/dict/bible/other/seek
6:8	xbze	keyterm	מִשְׁפָּט֙	1	rc://*/tw/dict/bible/kt/justice
6:8	xdq8	keyterm	וְ⁠אַ֣הֲבַת	1	rc://*/tw/dict/bible/kt/love
6:8	ugf8	keyterm	חֶ֔סֶד	1	rc://*/tw/dict/bible/kt/covenantfaith
6:8	bsur	keyterm	וְ⁠הַצְנֵ֥עַ	1	rc://*/tw/dict/bible/kt/humble
6:8	y7e4	keyterm	אֱלֹהֶֽי⁠ךָ	1	rc://*/tw/dict/bible/kt/god
6:9	su7z	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
6:9	mndy	keyterm	יִקְרָ֔א	1	rc://*/tw/dict/bible/kt/call-speakloudly
6:9	mqr2	keyterm	וְ⁠תוּשִׁיָּ֖ה	1	rc://*/tw/dict/bible/kt/wise
6:9	km2k	keyterm	יִרְאֶ֣ה	1	rc://*/tw/dict/bible/kt/fear
6:9	a4ta		מַטֶּ֖ה	1	rc://*/tw/dict/bible/other/tribe
6:9	r9b6	keyterm	יְעָדָֽ⁠הּ	1	rc://*/tw/dict/bible/kt/appoint
6:10	r94p		בֵּ֣ית	1	rc://*/tw/dict/bible/other/house
6:10	ua9y	keyterm	רָשָׁ֔ע	1	rc://*/tw/dict/bible/kt/evil
6:10	wbmg		אֹצְר֖וֹת	1	rc://*/tw/dict/bible/other/storehouse
6:10	pjfb	keyterm	רֶ֑שַׁע	1	rc://*/tw/dict/bible/kt/evil
6:10	h6fj	keyterm	זְעוּמָֽה	1	rc://*/tw/dict/bible/kt/curse
6:11	suys	keyterm	הַ⁠אֶזְכֶּ֖ה	1	rc://*/tw/dict/bible/kt/innocent
6:11	s2wb	keyterm	רֶ֑שַׁע	1	rc://*/tw/dict/bible/kt/evil
6:12	vym9		וּ⁠לְשׁוֹנָ֖⁠ם	1	rc://*/tw/dict/bible/other/tongue
6:13	t4sn		הַשְׁמֵ֖ם	1	rc://*/tw/dict/bible/other/devastated
6:13	njdq	keyterm	חַטֹּאתֶֽ⁠ךָ	1	rc://*/tw/dict/bible/kt/sin
6:14	rrmh	keyterm	תַפְלִ֔יט	1	rc://*/tw/dict/bible/kt/save
6:14	pbw8		לַ⁠חֶ֥רֶב	1	rc://*/tw/dict/bible/other/sword
6:15	hspa		תִזְרַ֖ע	1	rc://*/tw/dict/bible/other/sow
6:15	qaxh		תִקְצ֑וֹר	1	rc://*/tw/dict/bible/other/harvest
6:15	ynst		זַ֨יִת֙	1	rc://*/tw/dict/bible/other/olive
6:15	b4c2	keyterm	תָס֣וּךְ	1	rc://*/tw/dict/bible/kt/anoint
6:15	fm45		שֶׁ֔מֶן	1	rc://*/tw/dict/bible/other/oil
6:15	xcgk		יָּֽיִן	1	rc://*/tw/dict/bible/other/wine
6:16	g93z		חֻקּ֣וֹת	1	rc://*/tw/dict/bible/other/statute
6:16	luj9	name	עָמְרִ֗י	1	rc://*/tw/dict/bible/names/omri
6:16	wdrs		בֵית	1	rc://*/tw/dict/bible/other/house-descendants_nation
6:16	pssa	name	אַחְאָ֔ב	1	rc://*/tw/dict/bible/names/ahab
6:16	d7qp		בְּ⁠מֹֽעֲצוֹתָ֑⁠ם	1	rc://*/tw/dict/bible/other/counselor
6:16	m64p		לְ⁠שַׁמָּ֗ה	1	rc://*/tw/dict/bible/other/desolate
6:16	uzjf		וְ⁠חֶרְפַּ֥ת	1	rc://*/tw/dict/bible/other/shame
6:16	inja		תִּשָּֽׂאוּ	1	rc://*/tw/dict/bible/other/bear-heldresponsiblefor
7:1	u9z4	keyterm	אַ֣לְלַי לִ֗⁠י	1	rc://*/tw/dict/bible/kt/woe
7:1	ammu		כְּ⁠עֹלְלֹ֖ת	1	rc://*/tw/dict/bible/other/glean
7:1	d95m		בָּצִ֑יר	1	rc://*/tw/dict/bible/other/harvest
7:1	mr73		בִּכּוּרָ֖ה	1	rc://*/tw/dict/bible/other/fig
7:1	v34k	keyterm	נַפְשִֽׁ⁠י	1	rc://*/tw/dict/bible/kt/soul
7:2	j4ba	keyterm	חָסִיד֙	1	rc://*/tw/dict/bible/kt/faithful
7:2	hvmv	keyterm	אָבַ֤ד	1	rc://*/tw/dict/bible/kt/perish
7:2	au9y		מִן־הָ⁠אָ֔רֶץ	1	rc://*/tw/dict/bible/other/earth
7:2	yyg9	keyterm	וְ⁠יָשָׁ֥ר	1	rc://*/tw/dict/bible/kt/righteous
7:2	nxm7		לְ⁠דָמִ֣ים	1	rc://*/tw/dict/bible/other/bloodshed
7:3	y2a9	keyterm	הָ⁠רַ֤ע	1	rc://*/tw/dict/bible/kt/evil
7:3	rf7b		הַ⁠שַּׂ֣ר	1	rc://*/tw/dict/bible/other/ruler
7:3	auhu	keyterm	וְ⁠הַ⁠שֹּׁפֵ֖ט	1	rc://*/tw/dict/bible/other/judgeposition
7:3	www4		הַוַּ֥ת	1	rc://*/tw/dict/bible/other/lust
7:3	f27e	keyterm	נַפְשׁ֛⁠וֹ	1	rc://*/tw/dict/bible/kt/soul
7:4	td77	keyterm	יָשָׁ֖ר	1	rc://*/tw/dict/bible/kt/righteous
7:4	tk8v		מִ⁠מְּסוּכָ֑ה	1	rc://*/tw/dict/bible/other/thorn
7:5	b34m	keyterm	תַּאֲמִ֣ינוּ	1	rc://*/tw/dict/bible/kt/trust
7:5	w9b9		בְ⁠רֵ֔עַ	1	rc://*/tw/dict/bible/other/neighbor
7:5	znt2	keyterm	תִּבְטְח֖וּ	1	rc://*/tw/dict/bible/kt/trust
7:5	qsvy		בְּ⁠אַלּ֑וּף	1	rc://*/tw/dict/bible/other/companion
7:5	yzum		שְׁמֹ֖ר	1	rc://*/tw/dict/bible/other/watch
7:6	yziw		מְנַבֵּ֣ל	1	rc://*/tw/dict/bible/other/dishonor
7:6	ex94		אֹיְבֵ֥י	1	rc://*/tw/dict/bible/other/adversary
7:6	hqvz		בֵיתֽ⁠וֹ	1	rc://*/tw/dict/bible/other/household
7:7	phch		אֲצַפֶּ֔ה	1	rc://*/tw/dict/bible/other/watch
