Reference	ID	Tags	OrigWords	Occurrence	TWLink
8:5	nn4p		נִקָּיֹֽן	1	rc://*/tw/dict/bible/kt/innocent
8:6	wb95	keyterm	מִ⁠יִּשְׂרָאֵל֙	1	rc://*/tw/dict/bible/kt/israel
8:6	c7u6	keyterm	אֱלֹהִ֖ים	1	rc://*/tw/dict/bible/kt/god
8:6	p89f		עֵ֖גֶל	1	rc://*/tw/dict/bible/other/cow
8:6	kurx	name	שֹׁמְרֽוֹן	1	rc://*/tw/dict/bible/names/samaria
8:7	rcgv		יִזְרָ֖עוּ	1	rc://*/tw/dict/bible/other/sow
8:7	yefk		יִקְצֹ֑רוּ	1	rc://*/tw/dict/bible/other/harvest
8:7	v9yk		קָמָ֣ה	1	rc://*/tw/dict/bible/other/grain
8:8	zkhk	keyterm	יִשְׂרָאֵ֑ל	1	rc://*/tw/dict/bible/kt/israel
8:8	qgag		בַ⁠גּוֹיִ֔ם	1	rc://*/tw/dict/bible/other/nation
8:8	nfj8		חֵ֥פֶץ	1	rc://*/tw/dict/bible/other/delight
8:9	pxga	name	אַשּׁ֔וּר	1	rc://*/tw/dict/bible/names/assyria
8:9	miez		פֶּ֖רֶא	1	rc://*/tw/dict/bible/other/donkey
8:9	fax2	name	אֶפְרַ֖יִם	1	rc://*/tw/dict/bible/names/ephraim
8:9	yek5		אֲהָבִֽים	1	rc://*/tw/dict/bible/other/lover
8:10	w96u		בַ⁠גּוֹיִ֖ם	1	rc://*/tw/dict/bible/other/nation
8:10	aqn7		מֶ֥לֶךְ	1	rc://*/tw/dict/bible/other/king
8:10	s5uk		שָׂרִֽים	1	rc://*/tw/dict/bible/other/prince
8:11	vz88	name	אֶפְרַ֛יִם	1	rc://*/tw/dict/bible/names/ephraim
8:11	jcds		הִרְבָּ֥ה	1	rc://*/tw/dict/bible/other/multiply
8:11	yhlg	keyterm	מִזְבְּחֹ֖ת	1	rc://*/tw/dict/bible/kt/altar
8:11	p3g4	keyterm	לַ⁠חֲטֹ֑א	1	rc://*/tw/dict/bible/kt/sin
8:12	fakz	keyterm	תּֽוֹרָתִ֑⁠י	1	rc://*/tw/dict/bible/kt/lawofmoses
8:13	baed		זִבְחֵ֣י	1	rc://*/tw/dict/bible/other/sacrifice
8:13	vdrt		יִזְבְּח֤וּ	1	rc://*/tw/dict/bible/other/sacrifice
8:13	kejx		וַ⁠יֹּאכֵ֔לוּ	1	rc://*/tw/dict/bible/other/devour
8:13	q8vq	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
8:13	fh42	keyterm	עֲוֺנָ⁠ם֙	1	rc://*/tw/dict/bible/kt/iniquity
8:13	m5pc	keyterm	חַטֹּאותָ֔⁠ם	1	rc://*/tw/dict/bible/kt/sin
8:13	fm24	name	מִצְרַ֥יִם	1	rc://*/tw/dict/bible/names/egypt
8:14	dtva	keyterm	יִשְׂרָאֵ֜ל	1	rc://*/tw/dict/bible/kt/israel
8:14	bvtn	name	אֶת־עֹשֵׂ֗⁠הוּ	1	rc://*/tw/dict/bible/names/maker
8:14	pbqc		הֵֽיכָל֔וֹת	1	rc://*/tw/dict/bible/other/palace
8:14	eydj	name	וִֽ⁠יהוּדָ֕ה	1	rc://*/tw/dict/bible/names/judea
8:14	hmmw		הִרְבָּ֖ה	1	rc://*/tw/dict/bible/other/multiply
8:14	d2c9		וְ⁠אָכְלָ֖ה	1	rc://*/tw/dict/bible/other/consume
8:14	rm9r		אַרְמְנֹתֶֽי⁠הָ	1	rc://*/tw/dict/bible/other/stronghold
9:1	kt5y		תִּשְׂמַ֨ח	1	rc://*/tw/dict/bible/other/joy
9:1	uukb	keyterm	יִשְׂרָאֵ֤ל	1	rc://*/tw/dict/bible/kt/israel
9:1	rtn8		זָנִ֖יתָ	1	rc://*/tw/dict/bible/other/prostitute
9:1	zxcd	keyterm	אֱלֹהֶ֑י⁠ךָ	1	rc://*/tw/dict/bible/kt/god
9:1	kfu7		גָּרְנ֥וֹת	1	rc://*/tw/dict/bible/other/thresh
9:1	gaud		דָּגָֽן	1	rc://*/tw/dict/bible/other/grain
9:2	g4q4		גֹּ֥רֶן	1	rc://*/tw/dict/bible/other/thresh
9:2	pe8v		וָ⁠יֶ֖קֶב	1	rc://*/tw/dict/bible/other/winepress
9:2	f9jj		וְ⁠תִיר֖וֹשׁ	1	rc://*/tw/dict/bible/other/wine
9:3	j38j		בְּ⁠אֶ֣רֶץ	1	rc://*/tw/dict/bible/other/earth
9:3	q8za	keyterm	יְהוָ֑ה	1	rc://*/tw/dict/bible/kt/yahweh
